n porównania przestawienia czas
500 25916 18046 0.631 
500 24653 17195 0.614 
500 25505 17909 0.625 
500 25486 18327 0.644 
500 25405 17791 0.636 
500 25574 18051 0.613 
500 26262 18810 0.968 
500 26331 18570 0.968 
500 26385 18610 0.677 
500 26080 18768 0.645 
500 26217 18603 0.666 
500 25673 18468 0.646 
500 25595 18157 0.63 
500 25831 18262 0.65 
500 26329 18446 0.651 
500 26027 18620 0.986 
500 26147 18764 0.652 
500 26400 18545 0.65 
500 25725 17882 0.629 
500 25831 18430 0.633 
500 24760 17421 0.61 
500 25821 18214 0.634 
500 26222 18329 0.64 
500 26732 18963 0.665 
500 25578 18374 0.646 
500 24230 17070 0.613 
500 26297 18556 0.642 
500 25774 17977 0.625 
500 26446 18674 0.978 
500 26641 18630 0.65 
500 24598 17293 0.623 
500 26348 18440 0.678 
500 25087 17772 0.617 
500 25916 18790 0.972 
500 26113 18670 0.643 
500 25954 18399 0.64 
500 25587 18328 0.644 
500 26401 18830 0.651 
500 25306 18244 0.702 
500 25182 18033 0.666 
500 25812 18160 0.635 
500 26245 18989 0.696 
500 26223 18810 0.798 
500 26319 18546 0.807 
500 26980 18889 0.686 
500 26156 18448 0.632 
500 25965 18484 0.66 
500 26076 18542 0.647 
500 25776 18290 0.626 
500 26589 18516 0.684 
500 25957 18213 0.626 
500 24613 17661 0.921 
500 26798 19111 1 
500 26661 18860 0.972 
500 25575 17901 0.623 
500 25756 18604 0.648 
500 25584 18212 0.632 
500 26414 18672 0.826 
500 24465 17338 0.609 
500 25185 17837 0.623 
500 24361 17300 0.605 
500 26881 19001 0.986 
500 25414 18153 0.636 
500 26490 18707 0.975 
500 25403 17831 0.66 
500 25326 17998 0.619 
500 26169 18525 0.643 
500 24974 17861 0.615 
500 23725 16510 0.889 
500 26266 18731 0.653 
500 25913 18365 0.647 
500 25753 18292 0.639 
500 25287 17931 0.623 
500 25301 18041 0.94 
500 25491 18205 0.632 
500 26096 18392 0.632 
500 26211 18616 0.793 
500 26208 18609 0.651 
500 26324 18623 0.68 
500 24931 17442 0.619 
500 25693 18274 0.64 
500 26032 18337 0.635 
500 25664 18541 0.641 
500 26000 18248 0.462 
500 25964 18459 0.68 
500 25865 18272 1.021 
500 26364 18607 0.817 
500 26084 18623 0.661 
500 26121 18286 0.633 
500 26105 18690 0.65 
600 32249 22861 1.131 
600 32213 22805 0.909 
600 31352 22550 0.812 
600 32737 23318 0.691 
600 31502 22380 1.21 
600 32227 22990 0.606 
600 32461 23141 0.584 
600 31760 22668 0.573 
600 32163 22673 0.84 
600 32933 23493 0.799 
600 32827 23607 0.805 
600 31674 22695 0.773 
600 32599 23300 0.811 
600 31985 22707 0.775 
600 30206 21412 1.052 
600 32358 23123 0.803 
600 32556 23276 1.138 
600 32251 22795 0.774 
600 32360 23256 1.224 
600 32140 23058 0.784 
600 32249 23203 0.828 
600 30773 21211 0.742 
600 31364 22458 1.15 
600 32430 23208 0.795 
600 31853 22472 0.77 
600 32105 22710 0.778 
600 32936 23213 0.792 
600 31795 22826 0.788 
600 30941 22193 0.758 
600 31185 22318 0.768 
600 31635 22459 0.771 
600 31938 22821 0.778 
600 32105 22941 1.165 
600 29858 21345 0.742 
600 32415 23279 1.187 
600 32606 23129 0.792 
600 30529 21884 0.749 
600 32668 22713 0.78 
600 31592 22638 0.769 
600 32308 23227 0.8 
600 32400 23009 0.783 
600 32358 23164 1.194 
600 30368 21645 1.126 
600 32142 23267 1.204 
600 31905 23078 0.924 
600 32741 23272 0.856 
600 33217 23742 0.801 
600 31479 22724 0.78 
600 32656 23109 0.805 
600 32058 22914 0.798 
600 32004 22854 0.816 
600 32414 23033 0.783 
600 32410 23453 0.798 
600 32235 22924 0.786 
600 31569 22553 0.813 
600 30575 21801 0.746 
600 32136 22586 0.548 
600 31967 22896 0.773 
600 32490 22931 1.223 
600 31604 22822 0.956 
600 33098 23871 0.818 
600 32848 23434 0.911 
600 32684 23590 1.209 
600 31806 22834 0.789 
600 33027 23395 0.81 
600 31820 22835 0.784 
600 32836 23104 0.783 
600 30802 22080 0.929 
600 30906 22201 1.151 
600 31227 22085 1.13 
600 32005 22894 1.211 
600 32189 23137 1.178 
600 31578 22483 0.76 
600 33212 23773 0.808 
600 32812 23251 0.841 
600 32508 23172 1.184 
600 31861 22700 0.78 
600 32440 22991 0.79 
600 32382 22924 0.78 
600 31964 23080 0.79 
600 31870 22846 0.778 
600 33198 23184 1.199 
600 33239 23501 0.799 
600 30216 21629 0.769 
600 31861 22536 0.773 
600 32450 23289 0.792 
600 32622 22836 0.778 
600 32113 23125 1.135 
600 32351 23338 0.782 
